date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:08:21	32137/32137	---M-Z	200	added ('OK')	text/css	etag:W/%2232137-1749774178000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/css/track.css.xhtml?ln=ui-template-0.4&version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/css/track.css54c4.css	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:22	12558/12558	---M--	200	added ('OK')	image/gif	etag:W/%2212558-1749774178000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/img/ui-icon-loading.gif.xhtml?ln=ui-template-0.4&version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/img/ui-icon-loading.gif54c4.gif	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:22	9151/9151	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/portal-icon-customer-service.png?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/portal-icon-customer-servicee45f.png	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:23	42/42	---M--	200	added ('OK')	image/gif	etag:W/%2242-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=6.2.9	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/spacer/dot_clear.gif134a.gif	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:23	1290/1290	---M--	200	added ('OK')	image/gif	date:Fri,%2013%20Jun%202025%2000:22:58%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/servicelink_separator_footer.gif?version=9.2.0	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/servicelink_separator_footere45f.gif	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:24	12558/12558	---M--	200	added ('OK')	image/gif	date:Fri,%2021%20Feb%202025%2000:37:04%20GMT	https://ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/ui-icon-loading.gif	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/resources/ui-template-0.4/img/ui-icon-loading.gif	(from https://ecommerceportal.dhl.com/track/pages/customer/trackItNowPublic.xhtml)
12:08:24	86/86	---M--	200	added ('OK')	image/png	etag:W/%2286-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_highlight-soft_100_c4c4c4_1x100.pngab55.png	(from https://ecommerceportal.dhl.com/track/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo)
12:08:24	86/86	---M--	200	added ('OK')	image/png	etag:W/%2286-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png.xhtml?ln=primefaces-aristo	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.pngab55.png	(from https://ecommerceportal.dhl.com/track/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo)
12:08:25	108/108	---M--	200	added ('OK')	image/png	etag:W/%22108-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png.xhtml?ln=primefaces-aristo	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.pngab55.png	(from https://ecommerceportal.dhl.com/track/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo)
12:08:25	106/106	---M--	200	added ('OK')	image/png	etag:W/%22106-1749774328000%22	https://ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png.xhtml?ln=primefaces-aristo	C:/Users/HP/Documents/File/WEBSITE/LHD01/ecommerceportal.dhl.com/track/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.pngab55.png	(from https://ecommerceportal.dhl.com/track/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo)
